date,road,fixed_corridor,observation_time,time_block,day,weather,temperature,rain_chance,traffic_level,traffic_score,traffic_pattern,congestion_location,day_encoded,traffic_pattern_encoded,traffic_level_encoded,congestion_location_encoded
2026-08-23,lagos-ibadan expressway,ojota-berger,2026-08-19 09:08:00,2026-08-19 09:00:00,Friday,heavy rain,22.9,0.75,high,3,R,road segment,4,2,2.0,1
2026-09-15,funsho williams avenue,unknown,2026-08-19 20:48:00,2026-08-19 20:00:00,Thursday,cloudy,27.8,0.22,low,1,G/R,road segment,3,4,0.0,1
2026-09-09,lagos-badagry expressway,mile2-festac,2026-08-19 19:34:00,2026-08-19 19:00:00,Friday,cloudy,26.4,0.24,medium,2,Y,junction,4,1,1.0,2
2026-08-28,lagos-badagry expressway,mile2-festac,2026-08-19 10:43:00,2026-08-19 10:00:00,Wednesday,light rain,23.9,0.25,low,1,G/R,road segment,2,4,0.0,1
2026-09-13,third mainland bridge,oworonshole-adekunle,2026-08-19 18:18:00,2026-08-19 18:00:00,Thursday,mostly cloudy,24.4,0.18,high,3,Y/R,mixed,3,5,2.0,3
2026-08-12,lekki-epe expressway,lekkiphase1-ajah,2026-08-19 19:10:00,2026-08-19 19:00:00,Saturday,partly sunny,25.4,0.14,medium,2,Y/R,road segment,5,5,1.0,1
2026-08-05,third mainland bridge,oworonshole-adekunle,2026-08-19 22:35:00,2026-08-19 22:00:00,Thursday,mostly cloudy,25.8,0.17,low,1,G/Y,none evident,3,3,0.0,0
2026-08-07,third mainland bridge,oworonshole-adekunle,2026-08-19 19:37:00,2026-08-19 19:00:00,Tuesday,heavy rain,24.2,0.77,high,3,R,junction,1,2,2.0,2
2026-08-24,lagos-abeokuta expressway,abule egba-iyana ipaja,2026-08-19 17:09:00,2026-08-19 17:00:00,Thursday,partly sunny,28.0,0.11,high,3,Y/R,junction,3,5,2.0,2
2026-08-06,ikorodu road,unknown,2026-08-19 13:01:00,2026-08-19 13:00:00,Friday,partly sunny,29.0,0.15,low,1,G,road segment,4,0,0.0,1
2026-08-26,lekki-epe expressway,lekkiphase1-ajah,2026-08-19 20:59:00,2026-08-19 20:00:00,Sunday,mostly cloudy,25.6,0.15,low,1,G/Y,road segment,6,3,0.0,1
2026-08-03,funsho williams avenue,unknown,2026-08-19 09:10:00,2026-08-19 09:00:00,Wednesday,heavy rain,22.2,0.85,medium,2,G/Y,junction,2,3,1.0,2
2026-08-04,apapa-oshodi expressway,mile2-oshodi,2026-08-19 07:27:00,2026-08-19 07:00:00,Friday,mostly cloudy,24.0,0.1,high,3,R,junction,4,2,2.0,2
2026-08-10,ikorodu road,unknown,2026-08-19 08:38:00,2026-08-19 08:00:00,Wednesday,heavy rain,24.1,0.61,high,3,R,road segment,2,2,2.0,1
2026-08-01,third mainland bridge,oworonshole-adekunle,2026-08-19 10:55:00,2026-08-19 10:00:00,Monday,partly sunny,26.7,0.05,low,1,G/Y,none evident,0,3,0.0,0
2026-09-11,lagos-ibadan expressway,ojota-berger,2026-08-19 11:13:00,2026-08-19 11:00:00,Wednesday,mostly cloudy,26.2,0.17,low,1,G,none evident,2,0,0.0,0
2026-08-07,apapa-oshodi expressway,mile2-oshodi,2026-08-19 20:55:00,2026-08-19 20:00:00,Sunday,mostly cloudy,24.1,0.11,medium,2,G/Y,mixed,6,3,1.0,3
2026-08-17,ikorodu road,unknown,2026-08-19 17:17:00,2026-08-19 17:00:00,Thursday,partly sunny,26.9,0.06,high,3,G/Y/R,road segment,3,6,2.0,1
2026-08-22,funsho williams avenue,unknown,2026-08-19 15:33:00,2026-08-19 15:00:00,Tuesday,heavy rain,24.5,0.71,medium,2,Y/R,mixed,1,5,1.0,3
2026-08-27,lagos-abeokuta expressway,abule egba-iyana ipaja,2026-08-19 13:05:00,2026-08-19 13:00:00,Saturday,cloudy,25.3,0.24,medium,2,G/Y/R,mixed,5,6,1.0,3
2026-08-17,apapa-oshodi expressway,mile2-oshodi,2026-08-19 11:14:00,2026-08-19 11:00:00,Sunday,light rain,23.1,0.39,low,1,G/R,none evident,6,4,0.0,0
2026-08-31,ikorodu road,unknown,2026-08-19 15:57:00,2026-08-19 15:00:00,Sunday,mostly cloudy,26.3,0.16,medium,2,G/Y/R,junction,6,6,1.0,2
2026-09-10,ikorodu road,unknown,2026-08-19 16:08:00,2026-08-19 16:00:00,Saturday,cloudy,25.8,0.11,high,3,G/Y/R,road segment,5,6,2.0,1
2026-08-26,lagos-ibadan expressway,ojota-berger,2026-08-19 08:54:00,2026-08-19 08:00:00,Monday,heavy rain,24.3,0.78,high,3,R,junction,0,2,2.0,2
2026-08-12,ikorodu road,unknown,2026-08-19 09:44:00,2026-08-19 09:00:00,Monday,mostly cloudy,25.4,0.14,high,3,Y/R,junction,0,5,2.0,2
2026-08-06,apapa-oshodi expressway,mile2-oshodi,2026-08-19 17:49:00,2026-08-19 17:00:00,Tuesday,light rain,24.9,0.37,high,3,Y/R,junction,1,5,2.0,2
2026-09-05,apapa-oshodi expressway,mile2-oshodi,2026-08-19 18:47:00,2026-08-19 18:00:00,Sunday,partly sunny,27.8,0.07,high,3,G/Y/R,road segment,6,6,2.0,1
2026-08-12,ikorodu road,unknown,2026-08-19 21:30:00,2026-08-19 21:00:00,Wednesday,cloudy,26.7,0.23,low,1,G/R,road segment,2,4,0.0,1
2026-08-09,lagos-ibadan expressway,ojota-berger,2026-08-19 08:29:00,2026-08-19 08:00:00,Sunday,partly sunny,25.6,0.12,medium,2,G/Y/R,road segment,6,6,1.0,1
2026-08-11,lagos-badagry expressway,mile2-festac,2026-08-19 20:46:00,2026-08-19 20:00:00,Saturday,heavy rain,22.1,0.6,medium,2,G/Y,road segment,5,3,1.0,1
2026-09-03,apapa-oshodi expressway,mile2-oshodi,2026-08-19 17:56:00,2026-08-19 17:00:00,Friday,mostly cloudy,26.9,0.17,high,3,R,road segment,4,2,2.0,1
2026-09-10,lagos-ibadan expressway,ojota-berger,2026-08-19 11:01:00,2026-08-19 11:00:00,Monday,light rain,24.4,0.21,low,1,G,none evident,0,0,0.0,0
2026-08-26,third mainland bridge,oworonshole-adekunle,2026-08-19 22:59:00,2026-08-19 22:00:00,Wednesday,light rain,25.6,0.35,low,1,G,none evident,2,0,0.0,0
2026-09-14,ikorodu road,unknown,2026-08-19 10:15:00,2026-08-19 10:00:00,Monday,mostly cloudy,26.7,0.14,low,1,G/Y,none evident,0,3,0.0,0
2026-09-03,lekki-epe expressway,lekkiphase1-ajah,2026-08-19 17:33:00,2026-08-19 17:00:00,Sunday,partly sunny,25.7,0.15,high,3,G/Y/R,mixed,6,6,2.0,3
2026-09-06,funsho williams avenue,unknown,2026-08-19 14:53:00,2026-08-19 14:00:00,Monday,mostly cloudy,24.6,0.18,low,1,G/Y,road segment,0,3,0.0,1
2026-08-18,lekki-epe expressway,lekkiphase1-ajah,2026-08-19 12:50:00,2026-08-19 12:00:00,Saturday,heavy rain,22.5,0.79,low,1,G/R,road segment,5,4,0.0,1
2026-08-17,lagos-ibadan expressway,ojota-berger,2026-08-19 11:44:00,2026-08-19 11:00:00,Tuesday,mostly cloudy,25.6,0.15,low,1,G,none evident,1,0,0.0,0
2026-08-18,funsho williams avenue,unknown,2026-08-19 17:40:00,2026-08-19 17:00:00,Tuesday,cloudy,25.4,0.21,high,3,Y/R,road segment,1,5,2.0,1
2026-08-08,third mainland bridge,oworonshole-adekunle,2026-08-19 09:37:00,2026-08-19 09:00:00,Monday,cloudy,25.6,0.1,high,3,G/Y/R,road segment,0,6,2.0,1
2026-08-10,third mainland bridge,oworonshole-adekunle,2026-08-19 16:05:00,2026-08-19 16:00:00,Saturday,cloudy,27.6,0.25,high,3,G/Y/R,junction,5,6,2.0,2
2026-09-01,apapa-oshodi expressway,mile2-oshodi,2026-08-19 08:10:00,2026-08-19 08:00:00,Monday,partly sunny,28.7,0.1,high,3,R,mixed,0,2,2.0,3
2026-08-14,lagos-ibadan expressway,ojota-berger,2026-08-19 21:54:00,2026-08-19 21:00:00,Thursday,partly sunny,26.7,0.15,low,1,G,none evident,3,0,0.0,0
2026-09-12,lekki-epe expressway,lekkiphase1-ajah,2026-08-19 15:05:00,2026-08-19 15:00:00,Saturday,cloudy,26.5,0.12,medium,2,Y/R,road segment,5,5,1.0,1
2026-08-08,ikorodu road,unknown,2026-08-19 17:59:00,2026-08-19 17:00:00,Monday,mostly cloudy,24.1,0.12,high,3,Y/R,road segment,0,5,2.0,1
2026-09-10,apapa-oshodi expressway,mile2-oshodi,2026-08-19 17:54:00,2026-08-19 17:00:00,Wednesday,partly sunny,25.5,0.14,high,3,R,mixed,2,2,2.0,3
2026-08-26,lekki-epe expressway,lekkiphase1-ajah,2026-08-19 07:32:00,2026-08-19 07:00:00,Wednesday,heavy rain,23.1,0.54,high,3,G/Y/R,mixed,2,6,2.0,3
2026-09-13,lagos-badagry expressway,mile2-festac,2026-08-19 21:08:00,2026-08-19 21:00:00,Monday,heavy rain,23.5,0.58,low,1,G/Y,road segment,0,3,0.0,1
2026-09-15,third mainland bridge,oworonshole-adekunle,2026-08-19 08:06:00,2026-08-19 08:00:00,Sunday,heavy rain,23.0,0.7,medium,2,Y,mixed,6,1,1.0,3
2026-08-13,lagos-ibadan expressway,ojota-berger,2026-08-19 22:00:00,2026-08-19 22:00:00,Wednesday,light rain,23.9,0.35,low,1,G/R,none evident,2,4,0.0,0
2026-08-05,apapa-oshodi expressway,mile2-oshodi,2026-08-19 10:18:00,2026-08-19 10:00:00,Sunday,mostly cloudy,25.0,0.11,low,1,G,none evident,6,0,0.0,0
2026-09-03,lagos-badagry expressway,mile2-festac,2026-08-19 16:15:00,2026-08-19 16:00:00,Wednesday,mostly cloudy,26.2,0.2,medium,2,Y/R,junction,2,5,1.0,2
2026-09-15,ikorodu road,unknown,2026-08-19 15:24:00,2026-08-19 15:00:00,Monday,partly sunny,28.6,0.11,medium,2,Y,junction,0,1,1.0,2
2026-09-10,lagos-ibadan expressway,ojota-berger,2026-08-19 21:31:00,2026-08-19 21:00:00,Tuesday,light rain,25.5,0.26,low,1,G/Y,none evident,1,3,0.0,0
2026-08-24,ikorodu road,unknown,2026-08-19 14:30:00,2026-08-19 14:00:00,Sunday,heavy rain,22.9,0.8,medium,2,Y/R,junction,6,5,1.0,2
2026-08-02,apapa-oshodi expressway,mile2-oshodi,2026-08-19 19:34:00,2026-08-19 19:00:00,Friday,light rain,24.7,0.21,high,3,G/Y/R,junction,4,6,2.0,2
2026-08-02,funsho williams avenue,unknown,2026-08-19 09:52:00,2026-08-19 09:00:00,Wednesday,cloudy,25.1,0.21,high,3,G/Y/R,junction,2,6,2.0,2
2026-08-04,lekki-epe expressway,lekkiphase1-ajah,2026-08-19 11:44:00,2026-08-19 11:00:00,Sunday,light rain,23.0,0.27,low,1,G/Y,road segment,6,3,0.0,1
2026-09-12,funsho williams avenue,unknown,2026-08-19 19:37:00,2026-08-19 19:00:00,Tuesday,heavy rain,22.9,0.59,high,3,G/Y/R,road segment,1,6,2.0,1
2026-08-31,apapa-oshodi expressway,mile2-oshodi,2026-08-19 19:51:00,2026-08-19 19:00:00,Tuesday,cloudy,27.3,0.19,medium,2,Y/R,mixed,1,5,1.0,3
2026-08-20,apapa-oshodi expressway,mile2-oshodi,2026-08-19 08:37:00,2026-08-19 08:00:00,Wednesday,cloudy,27.0,0.15,high,3,G/Y/R,junction,2,6,2.0,2
2026-09-06,lagos-badagry expressway,mile2-festac,2026-08-19 10:52:00,2026-08-19 10:00:00,Monday,light rain,24.9,0.34,low,1,G/Y,road segment,0,3,0.0,1
2026-09-11,lagos-abeokuta expressway,abule egba-iyana ipaja,2026-08-19 12:49:00,2026-08-19 12:00:00,Friday,mostly cloudy,25.1,0.14,medium,2,Y,road segment,4,1,1.0,1
2026-08-04,lagos-abeokuta expressway,abule egba-iyana ipaja,2026-08-19 22:19:00,2026-08-19 22:00:00,Friday,mostly cloudy,24.1,0.16,low,1,G/R,road segment,4,4,0.0,1
2026-08-09,apapa-oshodi expressway,mile2-oshodi,2026-08-19 12:13:00,2026-08-19 12:00:00,Sunday,heavy rain,23.9,0.56,medium,2,G/Y/R,road segment,6,6,1.0,1
2026-09-03,funsho williams avenue,unknown,2026-08-19 15:11:00,2026-08-19 15:00:00,Thursday,cloudy,27.5,0.25,medium,2,Y/R,road segment,3,5,1.0,1
2026-08-09,funsho williams avenue,unknown,2026-08-19 12:00:00,2026-08-19 12:00:00,Sunday,mostly cloudy,25.3,0.13,medium,2,G/Y/R,mixed,6,6,1.0,3
2026-08-24,lekki-epe expressway,lekkiphase1-ajah,2026-08-19 13:10:00,2026-08-19 13:00:00,Thursday,cloudy,26.0,0.22,low,1,G/R,road segment,3,4,0.0,1
2026-08-25,third mainland bridge,oworonshole-adekunle,2026-08-19 12:40:00,2026-08-19 12:00:00,Friday,mostly cloudy,26.2,0.1,medium,2,G/Y,road segment,4,3,1.0,1
2026-08-21,lekki-epe expressway,lekkiphase1-ajah,2026-08-19 19:07:00,2026-08-19 19:00:00,Saturday,mostly cloudy,25.4,0.15,medium,2,G/Y,road segment,5,3,1.0,1
2026-08-17,lekki-epe expressway,lekkiphase1-ajah,2026-08-19 17:22:00,2026-08-19 17:00:00,Monday,mostly cloudy,25.8,0.1,high,3,G/Y/R,road segment,0,6,2.0,1
2026-08-03,lekki-epe expressway,lekkiphase1-ajah,2026-08-19 21:33:00,2026-08-19 21:00:00,Wednesday,partly sunny,28.3,0.06,low,1,G,road segment,2,0,0.0,1
2026-09-11,lagos-badagry expressway,mile2-festac,2026-08-19 22:01:00,2026-08-19 22:00:00,Thursday,mostly cloudy,26.5,0.13,low,1,G/R,none evident,3,4,0.0,0
2026-08-27,funsho williams avenue,unknown,2026-08-19 14:31:00,2026-08-19 14:00:00,Friday,light rain,25.6,0.23,low,1,G,road segment,4,0,0.0,1
2026-09-03,lagos-abeokuta expressway,abule egba-iyana ipaja,2026-08-19 08:39:00,2026-08-19 08:00:00,Thursday,light rain,23.7,0.26,high,3,R,junction,3,2,2.0,2
2026-09-05,ikorodu road,unknown,2026-08-19 17:09:00,2026-08-19 17:00:00,Saturday,mostly cloudy,24.7,0.13,high,3,G/Y/R,mixed,5,6,2.0,3
2026-09-02,lekki-epe expressway,lekkiphase1-ajah,2026-08-19 08:11:00,2026-08-19 08:00:00,Friday,cloudy,26.5,0.16,high,3,Y/R,mixed,4,5,2.0,3
2026-08-09,apapa-oshodi expressway,mile2-oshodi,2026-08-19 13:26:00,2026-08-19 13:00:00,Friday,cloudy,26.1,0.15,low,1,G,road segment,4,0,0.0,1
2026-08-02,lekki-epe expressway,lekkiphase1-ajah,2026-08-19 17:44:00,2026-08-19 17:00:00,Thursday,mostly cloudy,26.6,0.16,high,3,Y/R,road segment,3,5,2.0,1
2026-08-02,ikorodu road,unknown,2026-08-19 19:12:00,2026-08-19 19:00:00,Monday,light rain,25.9,0.2,high,3,R,junction,0,2,2.0,2
2026-09-02,funsho williams avenue,unknown,2026-08-19 17:50:00,2026-08-19 17:00:00,Wednesday,light rain,24.6,0.28,high,3,R,mixed,2,2,2.0,3
2026-08-11,lekki-epe expressway,lekkiphase1-ajah,2026-08-19 09:08:00,2026-08-19 09:00:00,Thursday,mostly cloudy,25.4,0.14,high,3,Y/R,road segment,3,5,2.0,1
2026-08-20,apapa-oshodi expressway,mile2-oshodi,2026-08-19 17:13:00,2026-08-19 17:00:00,Monday,heavy rain,24.2,0.57,high,3,G/Y/R,road segment,0,6,2.0,1
2026-08-31,lagos-abeokuta expressway,abule egba-iyana ipaja,2026-08-19 08:39:00,2026-08-19 08:00:00,Tuesday,light rain,25.2,0.21,high,3,Y/R,mixed,1,5,2.0,3
2026-08-30,lagos-ibadan expressway,ojota-berger,2026-08-19 13:48:00,2026-08-19 13:00:00,Friday,heavy rain,22.9,0.62,medium,2,Y/R,mixed,4,5,1.0,3
2026-09-06,apapa-oshodi expressway,mile2-oshodi,2026-08-19 09:24:00,2026-08-19 09:00:00,Friday,cloudy,26.0,0.19,high,3,G/Y/R,mixed,4,6,2.0,3
2026-08-07,lagos-ibadan expressway,ojota-berger,2026-08-19 06:18:00,2026-08-19 06:00:00,Monday,cloudy,27.0,0.12,low,1,G/R,road segment,0,4,0.0,1
2026-08-08,funsho williams avenue,unknown,2026-08-19 14:47:00,2026-08-19 14:00:00,Monday,cloudy,27.4,0.11,low,1,G,none evident,0,0,0.0,0
2026-08-24,lagos-ibadan expressway,ojota-berger,2026-08-19 22:06:00,2026-08-19 22:00:00,Thursday,mostly cloudy,24.6,0.14,low,1,G/R,none evident,3,4,0.0,0
2026-08-20,ikorodu road,unknown,2026-08-19 18:07:00,2026-08-19 18:00:00,Sunday,light rain,23.6,0.28,high,3,G/Y/R,mixed,6,6,2.0,3
2026-09-13,ikorodu road,unknown,2026-08-19 09:57:00,2026-08-19 09:00:00,Thursday,partly sunny,25.2,0.07,medium,2,Y/R,road segment,3,5,1.0,1
2026-09-10,lekki-epe expressway,lekkiphase1-ajah,2026-08-19 12:44:00,2026-08-19 12:00:00,Thursday,mostly cloudy,24.5,0.18,low,1,G/Y,road segment,3,3,0.0,1
2026-09-02,third mainland bridge,oworonshole-adekunle,2026-08-19 06:35:00,2026-08-19 06:00:00,Monday,heavy rain,24.5,0.76,low,1,G/R,none evident,0,4,0.0,0
2026-09-06,lagos-badagry expressway,mile2-festac,2026-08-19 18:09:00,2026-08-19 18:00:00,Tuesday,partly sunny,27.4,0.13,high,3,R,junction,1,2,2.0,2
2026-08-18,third mainland bridge,oworonshole-adekunle,2026-08-19 20:49:00,2026-08-19 20:00:00,Wednesday,light rain,25.3,0.39,low,1,G/R,none evident,2,4,0.0,0
2026-09-08,lagos-badagry expressway,mile2-festac,2026-08-19 14:54:00,2026-08-19 14:00:00,Friday,mostly cloudy,24.8,0.2,medium,2,Y,road segment,4,1,1.0,1
2026-08-28,lagos-ibadan expressway,ojota-berger,2026-08-19 15:02:00,2026-08-19 15:00:00,Thursday,heavy rain,24.2,0.53,medium,2,Y/R,junction,3,5,1.0,2
2026-09-10,funsho williams avenue,unknown,2026-08-19 12:30:00,2026-08-19 12:00:00,Tuesday,mostly cloudy,25.1,0.18,low,1,G,none evident,1,0,0.0,0
2026-08-12,ikorodu road,unknown,2026-08-19 16:34:00,2026-08-19 16:00:00,Thursday,light rain,25.2,0.28,medium,2,Y,road segment,3,1,1.0,1
2026-09-10,ikorodu road,unknown,2026-08-19 16:01:00,2026-08-19 16:00:00,Wednesday,heavy rain,23.2,0.79,medium,2,Y,road segment,2,1,1.0,1
2026-08-08,lagos-abeokuta expressway,abule egba-iyana ipaja,2026-08-19 12:55:00,2026-08-19 12:00:00,Wednesday,light rain,25.9,0.38,low,1,G/Y,road segment,2,3,0.0,1
2026-08-07,lagos-badagry expressway,mile2-festac,2026-08-19 09:58:00,2026-08-19 09:00:00,Thursday,light rain,23.3,0.28,medium,2,G/Y,mixed,3,3,1.0,3
2026-08-30,lekki-epe expressway,lekkiphase1-ajah,2026-08-19 12:02:00,2026-08-19 12:00:00,Wednesday,heavy rain,22.7,0.52,medium,2,Y,mixed,2,1,1.0,3
2026-08-24,third mainland bridge,oworonshole-adekunle,2026-08-19 12:02:00,2026-08-19 12:00:00,Monday,cloudy,25.1,0.24,medium,2,G/Y/R,mixed,0,6,1.0,3
2026-09-12,ikorodu road,unknown,2026-08-19 17:33:00,2026-08-19 17:00:00,Saturday,light rain,23.3,0.33,high,3,Y/R,mixed,5,5,2.0,3
2026-08-01,lekki-epe expressway,lekkiphase1-ajah,2026-08-19 14:33:00,2026-08-19 14:00:00,Monday,mostly cloudy,24.4,0.11,low,1,G/Y,road segment,0,3,0.0,1
2026-09-07,ikorodu road,unknown,2026-08-19 14:31:00,2026-08-19 14:00:00,Friday,heavy rain,23.7,0.56,low,1,G,none evident,4,0,0.0,0
2026-08-12,third mainland bridge,oworonshole-adekunle,2026-08-19 20:16:00,2026-08-19 20:00:00,Saturday,mostly cloudy,25.6,0.16,low,1,G/R,none evident,5,4,0.0,0
2026-09-09,ikorodu road,unknown,2026-08-19 19:41:00,2026-08-19 19:00:00,Monday,partly sunny,28.8,0.1,high,3,G/Y/R,junction,0,6,2.0,2
2026-08-11,funsho williams avenue,unknown,2026-08-19 16:13:00,2026-08-19 16:00:00,Wednesday,heavy rain,24.0,0.71,medium,2,Y,mixed,2,1,1.0,3
2026-08-07,lekki-epe expressway,lekkiphase1-ajah,2026-08-19 09:30:00,2026-08-19 09:00:00,Tuesday,light rain,24.2,0.27,medium,2,G/Y/R,mixed,1,6,1.0,3
2026-08-16,ikorodu road,unknown,2026-08-19 06:26:00,2026-08-19 06:00:00,Monday,heavy rain,23.7,0.74,low,1,G/Y,road segment,0,3,0.0,1
2026-08-15,ikorodu road,unknown,2026-08-19 20:25:00,2026-08-19 20:00:00,Friday,mostly cloudy,24.5,0.15,medium,2,Y/R,junction,4,5,1.0,2
2026-08-23,lagos-ibadan expressway,ojota-berger,2026-08-19 22:38:00,2026-08-19 22:00:00,Monday,heavy rain,22.6,0.66,low,1,G,none evident,0,0,0.0,0
2026-08-02,lekki-epe expressway,lekkiphase1-ajah,2026-08-19 20:00:00,2026-08-19 20:00:00,Saturday,cloudy,27.5,0.23,medium,2,Y/R,road segment,5,5,1.0,1
2026-09-07,lagos-ibadan expressway,ojota-berger,2026-08-19 19:41:00,2026-08-19 19:00:00,Thursday,mostly cloudy,25.6,0.19,high,3,Y/R,junction,3,5,2.0,2
2026-08-17,apapa-oshodi expressway,mile2-oshodi,2026-08-19 14:48:00,2026-08-19 14:00:00,Thursday,light rain,23.4,0.36,medium,2,Y/R,road segment,3,5,1.0,1
2026-08-01,lagos-abeokuta expressway,abule egba-iyana ipaja,2026-08-19 16:22:00,2026-08-19 16:00:00,Saturday,heavy rain,23.1,0.76,high,3,R,mixed,5,2,2.0,3
2026-09-01,lagos-abeokuta expressway,abule egba-iyana ipaja,2026-08-19 08:27:00,2026-08-19 08:00:00,Monday,partly sunny,28.3,0.1,high,3,G/Y/R,junction,0,6,2.0,2
2026-09-05,ikorodu road,unknown,2026-08-19 10:13:00,2026-08-19 10:00:00,Wednesday,heavy rain,22.3,0.7,low,1,G/Y,none evident,2,3,0.0,0
2026-08-31,ikorodu road,unknown,2026-08-19 07:11:00,2026-08-19 07:00:00,Monday,light rain,25.1,0.21,high,3,Y/R,mixed,0,5,2.0,3
